X, Y, Z, disp
-8.819212643483549385e-01,-4.713967368259974755e-01,-5.239368452791246204e-18,0.000000000000000000e+00
-9.238795325112869605e-01,-3.826834323650897818e-01,8.724343106773350875e-18,0.000000000000000000e+00
-9.034470313343798686e-01,-4.183233741859624377e-01,8.518167482592378659e-02,8.568078148510752112e-03
-9.834653562589963371e-01,-1.512560598113736610e-01,8.915346403223345373e-02,1.043316864858079805e-02
-9.807852804032303196e-01,-1.950903220161283591e-01,1.121266850549271794e-18,0.000000000000000000e+00
-9.951847266721968177e-01,-9.801714032956057587e-02,-4.028721920842774011e-18,0.000000000000000000e+00
-9.569403357322087134e-01,-2.902846772544620535e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.397359943287179052e-01,-3.359686301315262247e-01,5.613927891493336597e-02,7.274761569499379327e-03
-9.955763549136987800e-01,-4.706153132578858728e-02,7.313035329775409432e-02,8.189593861748863460e-03
-9.630789433113233766e-01,-2.570569407314449717e-01,7.210928074143013733e-02,7.894957722134048062e-03
-8.464720582248916880e-01,-5.242292778311760104e-01,8.443363737262833679e-02,8.672317910155116771e-03
-8.314696123025453467e-01,-5.555702330196018446e-01,-3.967606814283154042e-18,0.000000000000000000e+00
-7.730104533627369934e-01,-6.343932841636451547e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.015332419854509505e-01,-5.944575667737044267e-01,5.839279102385269704e-02,6.141411518512874396e-03
-7.384667094384766983e-01,-6.683802920894188482e-01,8.135706165877160112e-02,7.719894943770589171e-03
-7.071067811865475727e-01,-7.071067811865473507e-01,-4.048001606039235614e-18,0.000000000000000000e+00
-8.689894344135000726e-01,-4.679183547500878615e-01,1.477660517718921984e-01,1.319908782571147660e-02
-6.726367125915246881e-01,-7.370377902340851106e-01,6.014771207191042107e-02,5.694133595741923334e-03
-9.346479441323922721e-01,-3.255544522672672580e-01,1.301524218974475511e-01,1.284240016982813974e-02
-9.999999999999998890e-01,-2.541878499548909488e-18,-2.912741361711486613e-18,0.000000000000000000e+00
-9.845014829544732615e-01,-8.199810278985893153e-02,1.413100116163620579e-01,1.371624809245772410e-02
-9.560075381879428180e-01,-2.368724366150839478e-01,1.585067536922930564e-01,1.452802807097482163e-02
-8.973110768649376068e-01,-3.947246709883333593e-01,1.823042242124935375e-01,1.524391029815730728e-02
-8.235653645331914019e-01,-5.326943156288758141e-01,1.803854605786445187e-01,1.449105529229250192e-02
-6.343932841636460429e-01,-7.730104533627367713e-01,5.104537952129047563e-18,0.000000000000000000e+00
-9.685182356192721942e-01,-1.461228659778120720e-01,1.846837773712136088e-01,1.686159050252898292e-02
-9.226632240139899244e-01,-3.042846240050840478e-01,2.181538344777559923e-01,1.870781848910693310e-02
-5.555702330196022887e-01,-8.314696123025453467e-01,3.767869560829133791e-18,0.000000000000000000e+00
-6.019430069357598612e-01,-7.932268661052266356e-01,8.532990849981980652e-02,6.625272376607905210e-03
-4.713967368259978641e-01,-8.819212643483547165e-01,4.280788025966706735e-19,0.000000000000000000e+00
-5.122442195574621326e-01,-8.546278489744132401e-01,7.855398845032304789e-02,6.399524057014526965e-03
-7.685211509747378322e-01,-5.903640077468625957e-01,2.301211672219197202e-01,1.654779892811331782e-02
-8.038946033832022886e-01,-5.168854515252644388e-01,2.750588982517128689e-01,1.919081993487720128e-02
-7.260650084626966150e-01,-6.584543185194859927e-01,1.843430194309875203e-01,1.381730432001982908e-02
-7.043151860316788637e-01,-6.457883397939571113e-01,2.770228273487890802e-01,1.776105774557366901e-02
-6.567288597378763138e-01,-7.126665403283604094e-01,2.316221286457166850e-01,1.498202193531984749e-02
-8.551508105654461733e-01,-4.563246513560057505e-01,2.285415692038156310e-01,1.739521892288983795e-02
-7.879028075162841649e-01,-5.986657406868578502e-01,1.327676625358020224e-01,1.148384295309346631e-02
-6.681865798204453810e-01,-7.291611055404600972e-01,1.371720949641964671e-01,1.064798728063856212e-02
-7.460896509878197636e-01,-5.696091184671311369e-01,3.248109917051582585e-01,2.000154409940230193e-02
-6.310399205048957683e-01,-6.972460434411791308e-01,3.212975440684089357e-01,1.875623643519912578e-02
-9.954582786694515795e-01,5.146724101055345085e-02,7.202104949356979979e-02,8.066018945812571811e-03
-9.398684340454657171e-01,-2.133232735533248658e-01,2.467227362986332273e-01,1.999904317469193560e-02
-4.144137568102571612e-01,-9.054519324013607928e-01,8.473883564047170192e-02,7.011021455061771344e-03
-6.022947772657635257e-01,-7.750622485383114046e-01,1.791173165663887401e-01,1.198347403668947181e-02
-9.486029067029584372e-01,-1.201311113568453853e-01,2.710614321563944440e-01,2.172012716534174603e-02
-8.824149650706503145e-01,-3.703979109899118716e-01,2.701983103798408226e-01,1.988653402550315599e-02
-3.826834323650903369e-01,-9.238795325112866275e-01,3.148132573246111138e-18,0.000000000000000000e+00
-9.951847266721969287e-01,9.801714032956083955e-02,5.179557681705190641e-18,0.000000000000000000e+00
-6.751675188074921508e-01,-6.258198331973754414e-01,3.688531880894011517e-01,2.165719323757922532e-02
-9.717848978970053953e-01,-5.351198509377965568e-02,2.115642480167067574e-01,1.815423114992362891e-02
-9.875420809129026312e-01,2.782143207815229377e-03,1.436756342847234913e-01,1.365490345472763004e-02
-9.026989740324457001e-01,-2.782720834730252335e-01,3.053221895301137523e-01,2.285338823330116537e-02
-8.343305194515313605e-01,-4.310077864084763677e-01,3.217188703349272982e-01,2.197412110802134805e-02
-9.157645700039008796e-01,-1.865309892090085964e-01,3.303049514430287381e-01,2.547790703989402314e-02
-3.362479975947702537e-01,-9.400643943503592670e-01,5.294569004281668434e-02,3.766024692319739492e-03
-7.125910694331005768e-01,-5.481912555737815662e-01,4.133130031095925139e-01,2.452294228163631046e-02
-5.813122263029034675e-01,-7.619371869377284945e-01,2.696692505763005343e-01,1.586151608848879527e-02
-4.719169387823236583e-01,-8.651844964458312859e-01,1.593014306851874839e-01,1.025737917172837854e-02
-9.831099076433431616e-01,1.574445453813261842e-01,8.364920090991855017e-02,9.657415271167368864e-03
-8.741224127709595892e-01,-2.519460310453426333e-01,3.873333264666783959e-01,2.791744708103583231e-02
-2.902846772544623311e-01,-9.569403357322087134e-01,0.000000000000000000e+00,0.000000000000000000e+00
-5.995681456003677523e-01,-6.748279386031723615e-01,4.079044862068488264e-01,2.235740155678860724e-02
-6.406152850935009635e-01,-6.003611914003524896e-01,4.531757404000141265e-01,2.555016903556418459e-02
-5.276691155782200493e-01,-8.178195643689492034e-01,2.165098798115982492e-01,1.313433326654792066e-02
-5.495251627523516369e-01,-8.218605762355833955e-01,1.404960662162307306e-01,9.728062111132144280e-03
-7.779255203310546651e-01,-4.906378173486508620e-01,3.693140868775813268e-01,2.324981493333420218e-02
-9.841821545462393628e-01,8.621475929070024358e-02,1.411531140651861582e-01,1.361284457291075251e-02
-9.190781738205524576e-01,-9.168083505984427062e-02,3.557012101178128605e-01,2.756101720103938668e-02
-8.572622188990943748e-01,-3.428024319727136504e-01,3.597556909847704487e-01,2.441612042490889575e-02
-5.528965838091741691e-01,-7.434745354367982006e-01,3.576648995058389069e-01,1.856771839056574683e-02
-3.868580238853206454e-01,-9.010271342507227832e-01,1.857541730722029327e-01,1.043699059088097625e-02
-9.807852804032303196e-01,1.950903220161285812e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.816213343770522570e-01,-1.585774493445233635e-01,4.132199041986255872e-01,3.129895404094394651e-02
-5.633924582025008343e-01,-6.464288902035099094e-01,4.885914120909917724e-01,2.591672968210154832e-02
-5.009745991883932659e-01,-8.041050869972024007e-01,3.042868025238915641e-01,1.577484783936267468e-02
-2.500274575639002128e-01,-9.650472752703936896e-01,7.296446810737723665e-02,5.585051033870269167e-03
