X, Y, Z, disp
-8.819212643483549385e-01,-4.713967368259974755e-01,-5.239368452791246204e-18,0.000000000000000000e+00
-9.238795325112869605e-01,-3.826834323650897818e-01,8.724343106773350875e-18,0.000000000000000000e+00
-9.034470313343798686e-01,-4.183233741859624377e-01,9.332034005582201530e-02,4.294129186125197114e-04
-9.834653562589963371e-01,-1.512560598113736610e-01,9.924745801020055935e-02,3.391746706136903136e-04
-9.807852804032303196e-01,-1.950903220161283591e-01,1.121266850549271794e-18,0.000000000000000000e+00
-9.951847266721968177e-01,-9.801714032956057587e-02,-4.028721920842774011e-18,0.000000000000000000e+00
-9.569403357322087134e-01,-2.902846772544620535e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.397359943287179052e-01,-3.359686301315262247e-01,6.296569451828479269e-02,4.483459661479629612e-04
-9.955763549136987800e-01,-4.706153132578858728e-02,8.109699780898403654e-02,2.229493505189192109e-04
-9.630789433113233766e-01,-2.570569407314449717e-01,7.968006214147614619e-02,3.241763220880376317e-04
-8.464720582248916880e-01,-5.242292778311760104e-01,9.247041181410278754e-02,6.355434686806690596e-04
-8.314696123025453467e-01,-5.555702330196018446e-01,-3.967606814283154042e-18,0.000000000000000000e+00
-7.730104533627369934e-01,-6.343932841636451547e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.015332419854509505e-01,-5.944575667737044267e-01,6.390987257033672875e-02,6.243299720288335818e-04
-7.384667094384766983e-01,-6.683802920894188482e-01,8.814351275022550003e-02,9.334438523166942734e-04
-7.071067811865475727e-01,-7.071067811865473507e-01,-4.048001606039235614e-18,0.000000000000000000e+00
-8.689894344135000726e-01,-4.679183547500878615e-01,1.604445194534837305e-01,5.206201441199363213e-04
-6.726367125915246881e-01,-7.370377902340851106e-01,6.495877671355416993e-02,8.830689540981796759e-04
-9.346479441323922721e-01,-3.255544522672672580e-01,1.426111137864448930e-01,3.837082808307956498e-04
-9.999999999999998890e-01,-2.541878499548909488e-18,-2.912741361711486613e-18,0.000000000000000000e+00
-9.845014829544732615e-01,-8.199810278985893153e-02,1.549534369993634253e-01,7.282270945635558983e-05
-9.560075381879428180e-01,-2.368724366150839478e-01,1.729090699625437100e-01,1.257118007241544652e-04
-8.973110768649376068e-01,-3.947246709883333593e-01,1.973421056261990825e-01,2.060288844517618831e-04
-8.235653645331914019e-01,-5.326943156288758141e-01,1.943156182486181771e-01,5.608976223188340314e-04
-6.343932841636460429e-01,-7.730104533627367713e-01,5.104537952129047563e-18,0.000000000000000000e+00
-9.685182356192721942e-01,-1.461228659778120720e-01,2.015883787735048838e-01,-4.301089976230248893e-05
-9.226632240139899244e-01,-3.042846240050840478e-01,2.368736318357521076e-01,-1.197886888918857145e-05
-5.555702330196022887e-01,-8.314696123025453467e-01,3.767869560829133791e-18,0.000000000000000000e+00
-6.019430069357598612e-01,-7.932268661052266356e-01,9.075155610397236949e-02,1.203624772455329228e-03
-4.713967368259978641e-01,-8.819212643483547165e-01,4.280788025966706735e-19,0.000000000000000000e+00
-5.122442195574621326e-01,-8.546278489744132401e-01,8.343871769399398286e-02,1.514794813343585921e-03
-7.685211509747378322e-01,-5.903640077468625957e-01,2.460668585365655969e-01,6.021076134674472518e-04
-8.038946033832022886e-01,-5.168854515252644388e-01,2.942053780350313841e-01,4.434015155866223926e-05
-7.260650084626966150e-01,-6.584543185194859927e-01,1.971174387359995173e-01,1.042885015007818028e-03
-7.043151860316788637e-01,-6.457883397939571113e-01,2.940897936540737279e-01,6.940914402890180053e-04
-6.567288597378763138e-01,-7.126665403283604094e-01,2.454348902957170231e-01,1.169260285319508562e-03
-8.551508105654461733e-01,-4.563246513560057505e-01,2.457984143410961164e-01,1.383737856093618097e-04
-7.879028075162841649e-01,-5.986657406868578502e-01,1.434196726694642043e-01,8.318328194312896553e-04
-6.681865798204453810e-01,-7.291611055404600972e-01,1.465474562694772942e-01,1.272625975357746277e-03
-7.460896509878197636e-01,-5.696091184671311369e-01,3.449308411721008771e-01,-1.183053675403004132e-04
-6.310399205048957683e-01,-6.972460434411791308e-01,3.392095851560343878e-01,8.441953475736622926e-04
-9.954582786694515795e-01,5.146724101055345085e-02,7.982800437516805736e-02,2.590640642143173336e-04
-9.398684340454657171e-01,-2.133232735533248658e-01,2.671585683318352666e-01,-4.367888585101270494e-04
-4.144137568102571612e-01,-9.054519324013607928e-01,8.965609586482622961e-02,2.093761230707247116e-03
-6.022947772657635257e-01,-7.750622485383114046e-01,1.895198568808047768e-01,1.580933722273449677e-03
-9.486029067029584372e-01,-1.201311113568453853e-01,2.935893619006125776e-01,-8.078025788764248106e-04
-8.824149650706503145e-01,-3.703979109899118716e-01,2.904894050644127312e-01,-4.045606590687159327e-04
-3.826834323650903369e-01,-9.238795325112866275e-01,3.148132573246111138e-18,0.000000000000000000e+00
-9.951847266721969287e-01,9.801714032956083955e-02,5.179557681705190641e-18,0.000000000000000000e+00
-6.751675188074921508e-01,-6.258198331973754414e-01,3.903801969116124648e-01,1.301844153678771232e-04
-9.717848978970053953e-01,-5.351198509377965568e-02,2.300526370522810449e-01,-3.341578856506549925e-04
-9.875420809129026312e-01,2.782143207815229377e-03,1.572702933373206213e-01,6.024440213050162845e-05
-9.026989740324457001e-01,-2.782720834730252335e-01,3.289829779230596385e-01,-8.074001596446944923e-04
-8.343305194515313605e-01,-4.310077864084763677e-01,3.442738283657815201e-01,-5.808369228329066016e-04
-9.157645700039008796e-01,-1.865309892090085964e-01,3.569283082142477581e-01,-1.145449731324995994e-03
-3.362479975947702537e-01,-9.400643943503592670e-01,5.533836836360649797e-02,1.373346371529919575e-03
-7.125910694331005768e-01,-5.481912555737815662e-01,4.385358663270270130e-01,-6.999209357981792156e-04
-5.813122263029034675e-01,-7.619371869377284945e-01,2.840339881924215382e-01,1.496778472367768205e-03
-4.719169387823236583e-01,-8.651844964458312859e-01,1.672419758350068841e-01,2.316834021909003078e-03
-9.831099076433431616e-01,1.574445453813261842e-01,9.300940335827155570e-02,2.972128228143661069e-04
-8.741224127709595892e-01,-2.519460310453426333e-01,4.168700486012805739e-01,-1.619275053566336360e-03
-2.902846772544623311e-01,-9.569403357322087134e-01,0.000000000000000000e+00,0.000000000000000000e+00
-5.995681456003677523e-01,-6.748279386031723615e-01,4.298972906271700811e-01,3.645971364673570875e-04
-6.406152850935009635e-01,-6.003611914003524896e-01,4.791870978878585152e-01,-4.611884522802004501e-04
-5.276691155782200493e-01,-8.178195643689492034e-01,2.276142705604272676e-01,2.029942517718906665e-03
-5.495251627523516369e-01,-8.218605762355833955e-01,1.485051222994556719e-01,1.719006027907187114e-03
-7.779255203310546651e-01,-4.906378173486508620e-01,3.933426206936944114e-01,-7.787188827788856568e-04
-9.841821545462393628e-01,8.621475929070024358e-02,1.546725192104690116e-01,9.343942762790710850e-05
-9.190781738205524576e-01,-9.168083505984427062e-02,3.847388909459352746e-01,-1.476663627083023549e-03
-8.572622188990943748e-01,-3.428024319727136504e-01,3.854273214466496511e-01,-1.255510036970339813e-03
-5.528965838091741691e-01,-7.434745354367982006e-01,3.751629370510129458e-01,1.069680845391707963e-03
-3.868580238853206454e-01,-9.010271342507227832e-01,1.935114217554738947e-01,2.679741907610027740e-03
-9.807852804032303196e-01,1.950903220161285812e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.816213343770522570e-01,-1.585774493445233635e-01,4.463950013940067296e-01,-1.876143154437184216e-03
-5.633924582025008343e-01,-6.464288902035099094e-01,5.144744831358334380e-01,3.365863725994278121e-05
-5.009745991883932659e-01,-8.041050869972024007e-01,3.182289325934417046e-01,1.832717769812553530e-03
-2.500274575639002128e-01,-9.650472752703936896e-01,7.614680428628825548e-02,2.402714854959254673e-03
