X, Y, Z, disp
-8.819212643483549385e-01,-4.713967368259974755e-01,-5.239368452791246204e-18,0.000000000000000000e+00
-9.238795325112869605e-01,-3.826834323650897818e-01,8.724343106773350875e-18,0.000000000000000000e+00
-9.034470313343798686e-01,-4.183233741859624377e-01,8.632300351904276248e-02,7.426749455391779692e-03
-9.834653562589963371e-01,-1.512560598113736610e-01,8.983826712397954828e-02,9.748365556834698298e-03
-9.807852804032303196e-01,-1.950903220161283591e-01,1.121266850549271794e-18,0.000000000000000000e+00
-9.951847266721968177e-01,-9.801714032956057587e-02,-4.028721920842774011e-18,0.000000000000000000e+00
-9.569403357322087134e-01,-2.902846772544620535e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.397359943287179052e-01,-3.359686301315262247e-01,5.718768908587364835e-02,6.226351398559103016e-03
-9.955763549136987800e-01,-4.706153132578858728e-02,7.361008385838270496e-02,7.709863301120247620e-03
-9.630789433113233766e-01,-2.570569407314449717e-01,7.288914394687479037e-02,7.115094516689388950e-03
-8.464720582248916880e-01,-5.242292778311760104e-01,8.602502651508289744e-02,7.080928767700550922e-03
-8.314696123025453467e-01,-5.555702330196018446e-01,-3.967606814283154042e-18,0.000000000000000000e+00
-7.730104533627369934e-01,-6.343932841636451547e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.015332419854509505e-01,-5.944575667737044267e-01,5.977933333240552372e-02,4.754869209960045986e-03
-7.384667094384766983e-01,-6.683802920894188482e-01,8.332154504145190821e-02,5.755411561090283817e-03
-7.071067811865475727e-01,-7.071067811865473507e-01,-4.048001606039235614e-18,0.000000000000000000e+00
-8.689894344135000726e-01,-4.679183547500878615e-01,1.495256261565493239e-01,1.143951344105434594e-02
-6.726367125915246881e-01,-7.370377902340851106e-01,6.185940007874977248e-02,3.982445588902573663e-03
-9.346479441323922721e-01,-3.255544522672672580e-01,1.313179353433210905e-01,1.167688672395459856e-02
-9.999999999999998890e-01,-2.541878499548909488e-18,-2.912741361711486613e-18,0.000000000000000000e+00
-9.845014829544732615e-01,-8.199810278985893153e-02,1.414457949658203262e-01,1.358046474299944018e-02
-9.560075381879428180e-01,-2.368724366150839478e-01,1.590564627379772999e-01,1.397831902529057466e-02
-8.973110768649376068e-01,-3.947246709883333593e-01,1.833626823365981928e-01,1.418545217405266234e-02
-8.235653645331914019e-01,-5.326943156288758141e-01,1.826279455692602915e-01,1.224857030167672209e-02
-6.343932841636460429e-01,-7.730104533627367713e-01,5.104537952129047563e-18,0.000000000000000000e+00
-9.685182356192721942e-01,-1.461228659778120720e-01,1.845994872385070540e-01,1.694588063523551694e-02
-9.226632240139899244e-01,-3.042846240050840478e-01,2.185625919432516440e-01,1.829906102361129189e-02
-5.555702330196022887e-01,-8.314696123025453467e-01,3.767869560829133791e-18,0.000000000000000000e+00
-6.019430069357598612e-01,-7.932268661052266356e-01,8.760256135688472556e-02,4.352619519542974894e-03
-4.713967368259978641e-01,-8.819212643483547165e-01,4.280788025966706735e-19,0.000000000000000000e+00
-5.122442195574621326e-01,-8.546278489744132401e-01,8.107473645045118471e-02,3.878776056886387973e-03
-7.685211509747378322e-01,-5.903640077468625957e-01,2.331774690866232069e-01,1.349149706340982413e-02
-8.038946033832022886e-01,-5.168854515252644388e-01,2.772889888297978001e-01,1.696072935679227706e-02
-7.260650084626966150e-01,-6.584543185194859927e-01,1.876735436494592346e-01,1.048678010154810089e-02
-7.043151860316788637e-01,-6.457883397939571113e-01,2.810340274706760733e-01,1.374985762368668984e-02
-6.567288597378763138e-01,-7.126665403283604094e-01,2.357835636272223589e-01,1.082058695381416143e-02
-8.551508105654461733e-01,-4.563246513560057505e-01,2.301356232923753575e-01,1.580116483433012531e-02
-7.879028075162841649e-01,-5.986657406868578502e-01,1.351399352538512066e-01,9.111570235044282040e-03
-6.681865798204453810e-01,-7.291611055404600972e-01,1.402382962556019130e-01,7.581785989233119638e-03
-7.460896509878197636e-01,-5.696091184671311369e-01,3.278915827826054952e-01,1.692095302195505135e-02
-6.310399205048957683e-01,-6.972460434411791308e-01,3.264663395680049152e-01,1.358744093560317577e-02
-9.954582786694515795e-01,5.146724101055345085e-02,7.256176538797677600e-02,7.525303051405600810e-03
-9.398684340454657171e-01,-2.133232735533248658e-01,2.459953216035098422e-01,2.072645786981530333e-02
-4.144137568102571612e-01,-9.054519324013607928e-01,8.779400183079669184e-02,3.955855264736778815e-03
-6.022947772657635257e-01,-7.750622485383114046e-01,1.831104828157631148e-01,7.990307787315097110e-03
-9.486029067029584372e-01,-1.201311113568453853e-01,2.691162501584820066e-01,2.366530916325416956e-02
-8.824149650706503145e-01,-3.703979109899118716e-01,2.704388806684309143e-01,1.964596373691304687e-02
-3.826834323650903369e-01,-9.238795325112866275e-01,3.148132573246111138e-18,0.000000000000000000e+00
-9.951847266721969287e-01,9.801714032956083955e-02,5.179557681705190641e-18,0.000000000000000000e+00
-6.751675188074921508e-01,-6.258198331973754414e-01,3.734016868817814361e-01,1.710869444519888885e-02
-9.717848978970053953e-01,-5.351198509377965568e-02,2.107612879238793813e-01,1.895719124275099809e-02
-9.875420809129026312e-01,2.782143207815229377e-03,1.439065331662206793e-01,1.342400457323044555e-02
-9.026989740324457001e-01,-2.782720834730252335e-01,3.041883015022296965e-01,2.398727626118524539e-02
-8.343305194515313605e-01,-4.310077864084763677e-01,3.224314764245054810e-01,2.126151501844316186e-02
-9.157645700039008796e-01,-1.865309892090085964e-01,3.274850447379227814e-01,2.829781374499993132e-02
-3.362479975947702537e-01,-9.400643943503592670e-01,5.472852259966106553e-02,1.983192135475354834e-03
-7.125910694331005768e-01,-5.481912555737815662e-01,4.166305803758958981e-01,2.120536501533293663e-02
-5.813122263029034675e-01,-7.619371869377284945e-01,2.749536084834584004e-01,1.057715818133092220e-02
-4.719169387823236583e-01,-8.651844964458312859e-01,1.635886244978668469e-01,5.970185359049031207e-03
-9.831099076433431616e-01,1.574445453813261842e-01,8.435969190043432486e-02,8.946924280651594175e-03
-8.741224127709595892e-01,-2.519460310453426333e-01,3.837323362320731457e-01,3.151843731564107909e-02
-2.902846772544623311e-01,-9.569403357322087134e-01,0.000000000000000000e+00,0.000000000000000000e+00
-5.995681456003677523e-01,-6.748279386031723615e-01,4.139905742334316630e-01,1.627131353020575336e-02
-6.406152850935009635e-01,-6.003611914003524896e-01,4.583611618511720942e-01,2.036474758440621341e-02
-5.276691155782200493e-01,-8.178195643689492034e-01,2.215188640344512572e-01,8.125349043694898854e-03
-5.495251627523516369e-01,-8.218605762355833955e-01,1.441075186397855201e-01,6.116609687577347770e-03
-7.779255203310546651e-01,-4.906378173486508620e-01,3.708303497311047359e-01,2.173355207981081047e-02
-9.841821545462393628e-01,8.621475929070024358e-02,1.414510577181947726e-01,1.331490091990214335e-02
-9.190781738205524576e-01,-9.168083505984427062e-02,3.511369039475749632e-01,3.212532337127729093e-02
-8.572622188990943748e-01,-3.428024319727136504e-01,3.584934344616062529e-01,2.567837694807306032e-02
-5.528965838091741691e-01,-7.434745354367982006e-01,3.639929673956721623e-01,1.223965050073251570e-02
-3.868580238853206454e-01,-9.010271342507227832e-01,1.905819095869704383e-01,5.609254076113494129e-03
-9.807852804032303196e-01,1.950903220161285812e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.816213343770522570e-01,-1.585774493445233635e-01,4.072797964236522517e-01,3.723906181591728204e-02
-5.633924582025008343e-01,-6.464288902035099094e-01,4.959237309080221645e-01,1.858441086507118395e-02
-5.009745991883932659e-01,-8.041050869972024007e-01,3.105136694607694148e-01,9.547980902484844851e-03
-2.500274575639002128e-01,-9.650472752703936896e-01,7.581929975666355792e-02,2.730219384583950065e-03
