X, Y, Z, disp
-8.819212643483549385e-01,-4.713967368259974755e-01,-5.239368452791246204e-18,0.000000000000000000e+00
-9.238795325112869605e-01,-3.826834323650897818e-01,8.724343106773350875e-18,0.000000000000000000e+00
-9.034470313343798686e-01,-4.183233741859624377e-01,9.420946215190721673e-02,-4.597091774726802548e-04
-9.834653562589963371e-01,-1.512560598113736610e-01,1.002232182856553910e-01,-6.365856048411507474e-04
-9.807852804032303196e-01,-1.950903220161283591e-01,1.121266850549271794e-18,0.000000000000000000e+00
-9.951847266721968177e-01,-9.801714032956057587e-02,-4.028721920842774011e-18,0.000000000000000000e+00
-9.569403357322087134e-01,-2.902846772544620535e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.397359943287179052e-01,-3.359686301315262247e-01,6.375216603908155644e-02,-3.381255546488083738e-04
-9.955763549136987800e-01,-4.706153132578858728e-02,8.185430649524405577e-02,-5.343593357411063416e-04
-9.630789433113233766e-01,-2.570569407314449717e-01,8.046462025612612090e-02,-4.603817925619476531e-04
-8.464720582248916880e-01,-5.242292778311760104e-01,9.345768677771880417e-02,-3.517314949353533187e-04
-8.314696123025453467e-01,-5.555702330196018446e-01,-3.967606814283154042e-18,0.000000000000000000e+00
-7.730104533627369934e-01,-6.343932841636451547e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.015332419854509505e-01,-5.944575667737044267e-01,6.467536092936407299e-02,-1.411583869985029384e-04
-7.384667094384766983e-01,-6.683802920894188482e-01,8.915645504964062051e-02,-7.949844709842005777e-05
-7.071067811865475727e-01,-7.071067811865473507e-01,-4.048001606039235614e-18,0.000000000000000000e+00
-8.689894344135000726e-01,-4.679183547500878615e-01,1.617754643583276808e-01,-8.103247607240146675e-04
-6.726367125915246881e-01,-7.370377902340851106e-01,6.578442757257350892e-02,5.741809507884214998e-05
-9.346479441323922721e-01,-3.255544522672672580e-01,1.438388563272134657e-01,-8.440342599377876742e-04
-9.999999999999998890e-01,-2.541878499548909488e-18,-2.912741361711486613e-18,0.000000000000000000e+00
-9.845014829544732615e-01,-8.199810278985893153e-02,1.560881078638888531e-01,-1.061848155069066747e-03
-9.560075381879428180e-01,-2.368724366150839478e-01,1.741633520156133930e-01,-1.128570252345530937e-03
-8.973110768649376068e-01,-3.947246709883333593e-01,1.986931581340559694e-01,-1.145023623405130257e-03
-8.235653645331914019e-01,-5.326943156288758141e-01,1.957835905493084672e-01,-9.070746783714599267e-04
-6.343932841636460429e-01,-7.730104533627367713e-01,5.104537952129047563e-18,0.000000000000000000e+00
-9.685182356192721942e-01,-1.461228659778120720e-01,2.029265487207909391e-01,-1.381180847048347343e-03
-9.226632240139899244e-01,-3.042846240050840478e-01,2.383851325651393516e-01,-1.523479598276411377e-03
-5.555702330196022887e-01,-8.314696123025453467e-01,3.767869560829133791e-18,0.000000000000000000e+00
-6.019430069357598612e-01,-7.932268661052266356e-01,9.178454301549661409e-02,1.706378609310882605e-04
-4.713967368259978641e-01,-8.819212643483547165e-01,4.280788025966706735e-19,0.000000000000000000e+00
-5.122442195574621326e-01,-8.546278489744132401e-01,8.456732918346455963e-02,3.861833238730121888e-04
-7.685211509747378322e-01,-5.903640077468625957e-01,2.477523376299094471e-01,-1.083371479876418407e-03
-8.038946033832022886e-01,-5.168854515252644388e-01,2.958722343019007939e-01,-1.622516115310697251e-03
-7.260650084626966150e-01,-6.584543185194859927e-01,1.987438226992673251e-01,-5.834989482599745600e-04
-7.043151860316788637e-01,-6.457883397939571113e-01,2.959580245438117041e-01,-1.174139449448932757e-03
-6.567288597378763138e-01,-7.126665403283604094e-01,2.472526232915429611e-01,-6.484727105064401215e-04
-8.551508105654461733e-01,-4.563246513560057505e-01,2.473293986200595929e-01,-1.392610493354137346e-03
-7.879028075162841649e-01,-5.986657406868578502e-01,1.447300383428525850e-01,-4.785328539570984940e-04
-6.681865798204453810e-01,-7.291611055404600972e-01,1.479701653759193658e-01,-1.500831310843389870e-04
-7.460896509878197636e-01,-5.696091184671311369e-01,3.466616036519579169e-01,-1.849067847397333321e-03
-6.310399205048957683e-01,-6.972460434411791308e-01,3.412757275610721619e-01,-1.221947057464110647e-03
-9.954582786694515795e-01,5.146724101055345085e-02,8.058226866645350206e-02,-4.952002270711267692e-04
-9.398684340454657171e-01,-2.133232735533248658e-01,2.685913717990879301e-01,-1.869592325762788922e-03
-4.144137568102571612e-01,-9.054519324013607928e-01,9.104175585485532740e-02,7.081012406781446661e-04
-6.022947772657635257e-01,-7.750622485383114046e-01,1.912280140955883168e-01,-1.272234925100870328e-04
-9.486029067029584372e-01,-1.201311113568453853e-01,2.949720477075438718e-01,-2.190488385807734702e-03
-8.824149650706503145e-01,-3.703979109899118716e-01,2.919761957896786497e-01,-1.891351384334636482e-03
-3.826834323650903369e-01,-9.238795325112866275e-01,3.148132573246111138e-18,0.000000000000000000e+00
-9.951847266721969287e-01,9.801714032956083955e-02,5.179557681705190641e-18,0.000000000000000000e+00
-6.751675188074921508e-01,-6.258198331973754414e-01,3.923754215801142919e-01,-1.865040253133928199e-03
-9.717848978970053953e-01,-5.351198509377965568e-02,2.313716718871176858e-01,-1.653192720487296936e-03
-9.875420809129026312e-01,2.782143207815229377e-03,1.584174806985423345e-01,-1.086942959091198417e-03
-9.026989740324457001e-01,-2.782720834730252335e-01,3.304892178895298960e-01,-2.313640126114977456e-03
-8.343305194515313605e-01,-4.310077864084763677e-01,3.458749827260125809e-01,-2.181991283063958002e-03
-9.157645700039008796e-01,-1.865309892090085964e-01,3.584162020213360056e-01,-2.633343538413262120e-03
-3.362479975947702537e-01,-9.400643943503592670e-01,5.616597733638086648e-02,5.457373987555536651e-04
-7.125910694331005768e-01,-5.481912555737815662e-01,4.403786904338222730e-01,-2.542745042593450369e-03
-5.813122263029034675e-01,-7.619371869377284945e-01,2.861140592758518730e-01,-5.832926110625243771e-04
-4.719169387823236583e-01,-8.651844964458312859e-01,1.690684048603112999e-01,4.904049966045703019e-04
-9.831099076433431616e-01,1.574445453813261842e-01,9.391766171466715829e-02,-6.110455335812425056e-04
-8.741224127709595892e-01,-2.519460310453426333e-01,4.183266397073806542e-01,-3.075866159666408150e-03
-2.902846772544623311e-01,-9.569403357322087134e-01,0.000000000000000000e+00,0.000000000000000000e+00
-5.995681456003677523e-01,-6.748279386031723615e-01,4.321038666560509944e-01,-1.841978892413559691e-03
-6.406152850935009635e-01,-6.003611914003524896e-01,4.812609642786771502e-01,-2.535054843098848674e-03
-5.276691155782200493e-01,-8.178195643689492034e-01,2.296316874837314725e-01,1.252559441470833834e-05
-5.495251627523516369e-01,-8.218605762355833955e-01,1.500426038589438571e-01,1.815244684190072690e-04
-7.779255203310546651e-01,-4.906378173486508620e-01,3.949989988698009991e-01,-2.435097058885426699e-03
-9.841821545462393628e-01,8.621475929070024358e-02,1.558218126326897102e-01,-1.055853994592783826e-03
-9.190781738205524576e-01,-9.168083505984427062e-02,3.861753950938179858e-01,-2.913167774965733873e-03
-8.572622188990943748e-01,-3.428024319727136504e-01,3.868996656413684065e-01,-2.727854231689083326e-03
-5.528965838091741691e-01,-7.434745354367982006e-01,3.774023843196424033e-01,-1.169766423237764098e-03
-3.868580238853206454e-01,-9.010271342507227832e-01,1.955255119679232267e-01,6.656516951606958939e-04
-9.807852804032303196e-01,1.950903220161285812e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.816213343770522570e-01,-1.585774493445233635e-01,4.478773442022197515e-01,-3.358485962650224754e-03
-5.633924582025008343e-01,-6.464288902035099094e-01,5.168552916222991511e-01,-2.347149849205777076e-03
-5.009745991883932659e-01,-8.041050869972024007e-01,3.205084837484774574e-01,-4.468333852232404010e-04
