X, Y, Z, disp
-8.819212643483549385e-01,-4.713967368259974755e-01,-5.239368452791246204e-18,0.000000000000000000e+00
-9.238795325112869605e-01,-3.826834323650897818e-01,8.724343106773350875e-18,0.000000000000000000e+00
-9.034470313343798686e-01,-4.183233741859624377e-01,9.429637662015048771e-02,-5.466236457159553020e-04
-9.834653562589963371e-01,-1.512560598113736610e-01,1.002722868888576008e-01,-6.856542080433533290e-04
-9.807852804032303196e-01,-1.950903220161283591e-01,1.121266850549271794e-18,0.000000000000000000e+00
-9.951847266721968177e-01,-9.801714032956057587e-02,-4.028721920842774011e-18,0.000000000000000000e+00
-9.569403357322087134e-01,-2.902846772544620535e-01,0.000000000000000000e+00,0.000000000000000000e+00
-9.397359943287179052e-01,-3.359686301315262247e-01,6.385811601740860877e-02,-4.440755329758637395e-04
-9.955763549136987800e-01,-4.706153132578858728e-02,8.188011199910508187e-02,-5.601648396021279876e-04
-9.630789433113233766e-01,-2.570569407314449717e-01,8.052417501738132199e-02,-5.199365538171406157e-04
-8.464720582248916880e-01,-5.242292778311760104e-01,9.361320557118703312e-02,-5.072502884035859491e-04
-8.314696123025453467e-01,-5.555702330196018446e-01,-3.967606814283154042e-18,0.000000000000000000e+00
-7.730104533627369934e-01,-6.343932841636451547e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.015332419854509505e-01,-5.944575667737044267e-01,6.484570470622454119e-02,-3.115021638589755013e-04
-7.384667094384766983e-01,-6.683802920894188482e-01,8.941937817246536913e-02,-3.424215699231772077e-04
-7.071067811865475727e-01,-7.071067811865473507e-01,-4.048001606039235614e-18,0.000000000000000000e+00
-8.689894344135000726e-01,-4.679183547500878615e-01,1.618560626840882255e-01,-8.909230864845608944e-04
-6.726367125915246881e-01,-7.370377902340851106e-01,6.604566381392858176e-02,-2.038181462762400956e-04
-9.346479441323922721e-01,-3.255544522672672580e-01,1.438816939671381800e-01,-8.868718998625110166e-04
-9.999999999999998890e-01,-2.541878499548909488e-18,-2.912741361711486613e-18,0.000000000000000000e+00
-9.845014829544732615e-01,-8.199810278985893153e-02,1.560235208710394617e-01,-9.972611622196751301e-04
-9.560075381879428180e-01,-2.368724366150839478e-01,1.741073645727400643e-01,-1.072582809472200516e-03
-8.973110768649376068e-01,-3.947246709883333593e-01,1.986499013371964273e-01,-1.101766826545578625e-03
-8.235653645331914019e-01,-5.326943156288758141e-01,1.958614575414325543e-01,-9.849416704955469160e-04
-6.343932841636460429e-01,-7.730104533627367713e-01,5.104537952129047563e-18,0.000000000000000000e+00
-9.685182356192721942e-01,-1.461228659778120720e-01,2.027973352544146790e-01,-1.251967380672088567e-03
-9.226632240139899244e-01,-3.042846240050840478e-01,2.382432129066468229e-01,-1.381559939783888599e-03
-5.555702330196022887e-01,-8.314696123025453467e-01,3.767869560829133791e-18,0.000000000000000000e+00
-6.019430069357598612e-01,-7.932268661052266356e-01,9.214625359685912898e-02,-1.910727204314195747e-04
-4.713967368259978641e-01,-8.819212643483547165e-01,4.280788025966706735e-19,0.000000000000000000e+00
-5.122442195574621326e-01,-8.546278489744132401e-01,8.503987898100667797e-02,-8.636647366910600598e-05
-7.685211509747378322e-01,-5.903640077468625957e-01,2.478173648335252055e-01,-1.148398683492188104e-03
-8.038946033832022886e-01,-5.168854515252644388e-01,2.957221129039007690e-01,-1.472394717310679087e-03
-7.260650084626966150e-01,-6.584543185194859927e-01,1.989861876746364111e-01,-8.258639236290689833e-04
-7.043151860316788637e-01,-6.457883397939571113e-01,2.960317062283457923e-01,-1.247821133983046098e-03
-6.567288597378763138e-01,-7.126665403283604094e-01,2.475180176177034508e-01,-9.138670366669300821e-04
-8.551508105654461733e-01,-4.563246513560057505e-01,2.472379358973864349e-01,-1.301147770680954278e-03
-7.879028075162841649e-01,-5.986657406868578502e-01,1.449255005298991927e-01,-6.739950410036997172e-04
-6.681865798204453810e-01,-7.291611055404600972e-01,1.483196184311830201e-01,-4.995361863479993916e-04
-7.460896509878197636e-01,-5.696091184671311369e-01,3.464321977614116532e-01,-1.619661956851093255e-03
-6.310399205048957683e-01,-6.972460434411791308e-01,3.413745488552799578e-01,-1.320768351671882963e-03
-9.954582786694515795e-01,5.146724101055345085e-02,8.062335882426442668e-02,-5.362903848820524746e-04
-9.398684340454657171e-01,-2.133232735533248658e-01,2.682968571449971251e-01,-1.575077671671976749e-03
-4.144137568102571612e-01,-9.054519324013607928e-01,9.171159148208503364e-02,3.826561344843704073e-05
-6.022947772657635257e-01,-7.750622485383114046e-01,1.916666355435864832e-01,-5.658449405082704650e-04
-9.486029067029584372e-01,-1.201311113568453853e-01,2.945400490924794945e-01,-1.758489770743328334e-03
-8.824149650706503145e-01,-3.703979109899118716e-01,2.916800756171181175e-01,-1.595231211774130690e-03
-3.826834323650903369e-01,-9.238795325112866275e-01,3.148132573246111138e-18,0.000000000000000000e+00
-9.951847266721969287e-01,9.801714032956083955e-02,5.179557681705190641e-18,0.000000000000000000e+00
-6.751675188074921508e-01,-6.258198331973754414e-01,3.921980647846662893e-01,-1.687683457685958295e-03
-9.717848978970053953e-01,-5.351198509377965568e-02,2.311356832749569545e-01,-1.417204108326588401e-03
-9.875420809129026312e-01,2.782143207815229377e-03,1.583532610077923453e-01,-1.022723268341219158e-03
-9.026989740324457001e-01,-2.782720834730252335e-01,3.300348322702701398e-01,-1.859254506855227565e-03
-8.343305194515313605e-01,-4.310077864084763677e-01,3.454883679389367246e-01,-1.795376495988112130e-03
-9.157645700039008796e-01,-1.865309892090085964e-01,3.578297245223525103e-01,-2.046866039429791513e-03
-3.362479975947702537e-01,-9.400643943503592670e-01,5.661339891670037067e-02,9.831581843605133547e-05
-7.125910694331005768e-01,-5.481912555737815662e-01,4.398864664741078956e-01,-2.050521082879060413e-03
-5.813122263029034675e-01,-7.619371869377284945e-01,2.864710735642132522e-01,-9.403068994239367154e-04
-4.719169387823236583e-01,-8.651844964458312859e-01,1.697794676622366439e-01,-2.206578053207631715e-04
-9.831099076433431616e-01,1.574445453813261842e-01,9.396434768474262733e-02,-6.577315036567111129e-04
-8.741224127709595892e-01,-2.519460310453426333e-01,4.175436943279030588e-01,-2.292920780188835786e-03
-2.902846772544623311e-01,-9.569403357322087134e-01,0.000000000000000000e+00,0.000000000000000000e+00
-5.995681456003677523e-01,-6.748279386031723615e-01,4.319752458073054524e-01,-1.713358043668039348e-03
-6.406152850935009635e-01,-6.003611914003524896e-01,4.808155588487539323e-01,-2.089649413175655862e-03
-5.276691155782200493e-01,-8.178195643689492034e-01,2.302067336318592561e-01,-5.625205537130829273e-04
-5.495251627523516369e-01,-8.218605762355833955e-01,1.505500375257294021e-01,-3.259091983665376459e-04
-7.779255203310546651e-01,-4.906378173486508620e-01,3.945152288661637474e-01,-1.951327055248210617e-03
-9.841821545462393628e-01,8.621475929070024358e-02,1.557714700290312726e-01,-1.005511390934346909e-03
-9.190781738205524576e-01,-9.168083505984427062e-02,3.854632730469099711e-01,-2.201045728057730855e-03
-8.572622188990943748e-01,-3.428024319727136504e-01,3.862633636228288703e-01,-2.091552213149537078e-03
-5.528965838091741691e-01,-7.434745354367982006e-01,3.775607426689655544e-01,-1.328124772560903893e-03
-3.868580238853206454e-01,-9.010271342507227832e-01,1.963552148205903736e-01,-1.640511575064545395e-04
-9.807852804032303196e-01,1.950903220161285812e-01,0.000000000000000000e+00,0.000000000000000000e+00
-8.816213343770522570e-01,-1.585774493445233635e-01,4.469867250037273254e-01,-2.467866764157775668e-03
-5.633924582025008343e-01,-6.464288902035099094e-01,5.165460824969274611e-01,-2.037940723834126555e-03
-5.009745991883932659e-01,-8.041050869972024007e-01,3.209686357327525830e-01,-9.069853694983357004e-04
